Media Outlet,Ad Instance Date Time (EST),Ad Length,Net Cleared,P25-54 Imps +3 (Actual),CPM,Ad,Program,Program Genre,Feed,Market,Attributes,Ad Instance ID
TURNER NETWORK TELEVISION,7/4/2021 1:18,:30,2337.5,167,13.99700599,How Does Your Credit Grow 30,Impractical Jokers,candid camera/spy cam / Comedy / parody/spoof / reality,Dual,National,,33402823
WEATHER CHANNEL,7/4/2021 1:20,:30,0,16,0,Open Sesame 30,Mud Mountain Haulers,Documentary / environment / outdoors,Live,National,LOC,33402867
BLACK ENTERTAINMENT TELEVISION,7/4/2021 2:04,:30,765,65,11.76923077,Open Sesame 30,The Parkers,Comedy / halloween / series finale / Sitcom / spin-off / thanksgiving / valentines day,Dual,National,,33402828
BLACK ENTERTAINMENT TELEVISION,7/4/2021 2:41,:30,765,67,11.41791045,How Does Your Credit Grow 30,The Parkers,Comedy / halloween / series finale / Sitcom / spin-off / thanksgiving / valentines day,Dual,National,,33402827
ARTS & ENTERTAINMENT,7/4/2021 2:44,:30,0,17,0,Open Sesame 30,Pain & Gain,action/adventure / Comedy / crime / drama / mystery / suspense/thriller,Dual,National,,33402888
HOME & GARDEN TELEVISION,7/3/2021 7:43,:30,595,14.2,41.90140845,How Does Your Credit Grow 30,Celebrity IOU,celebrities / entertainment / home & garden / home projects / makeover / reality,Dual,National,LOC,33402873
DIRECTV SPORTS CLUSTER,7/3/2021 8:42,:30,850,85.4,9.953161593,How Does Your Credit Grow 30,,,Live,National,,33402876
OWN: OPRAH WINFREY NETWORK,7/3/2021 9:12,:30,85,16.2,5.24691358,How Does Your Credit Grow 30,Dr. Phil,advice / talk / tvgtalk,Dual,National,LOC,33402838
DIRECTV SPORTS CLUSTER,7/3/2021 10:37,:30,850,119.6,7.107023411,Open Sesame 30,,,Live,National,,33402877
ANIMAL PLANET,7/3/2021 12:37,:30,136,14.4,9.444444444,How Does Your Credit Grow 30,The Zoo,animals / behind-the-scenes / Documentary / environment / reality / season copy / wildlife,Dual,National,LOC,33402853
HOME & GARDEN TELEVISION,7/3/2021 13:18,:30,680,41,16.58536585,Open Sesame 30,Good Bones,advice / architecture / construction / home & garden / home projects / how-to / real estate / reality,Dual,National,LOC,33402872
HOME & GARDEN TELEVISION,7/3/2021 16:16,:30,680,54.6,12.45421245,How Does Your Credit Grow 30,Good Bones,advice / architecture / construction / home & garden / home projects / how-to / real estate / reality,Dual,National,LOC,33402870
ARTS & ENTERTAINMENT,7/3/2021 16:58,:30,195.5,10.05,19.45273632,How Does Your Credit Grow 30,X-Men Origins: Wolverine,action/adventure / adaptation / prequel / sci-fi,Dual,National,LOC,33402846
ARTS & ENTERTAINMENT,7/3/2021 17:24,:30,195.5,9.45,20.68783069,Open Sesame 30,X-Men Origins: Wolverine,action/adventure / adaptation / prequel / sci-fi,Dual,National,LOC,33402848
